16.10.2024 13:50:33: Клиент 127.0.0.1:56527 запросил asd
16.10.2024 17:19:32: Клиент 127.0.0.1:60463 запросил PRICE:product1
16.10.2024 17:21:18: Клиент 127.0.0.1:49682 запросил LIST
16.10.2024 17:21:21: Клиент 127.0.0.1:49683 запросил LIST
16.10.2024 17:21:42: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:21:49: Клиент 127.0.0.1:49683 запросил PRICE:product2
16.10.2024 17:22:04: Клиент 127.0.0.1:49683 запросил PRICE:product3
16.10.2024 17:22:33: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:40: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:44: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:47: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:50: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:55: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:22:59: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:23:07: Клиент 127.0.0.1:49682 запросил PRICE:product1
16.10.2024 17:50:10: Клиент 127.0.0.1:64605 запросил LIST
16.10.2024 17:51:59: Клиент 127.0.0.1:64605 запросил LIST
16.10.2024 17:52:04: Клиент 127.0.0.1:64605 запросил LIST
16.10.2024 17:52:12: Клиент 127.0.0.1:64605 запросил PRICE:uio
